Name	Type	Subtype	F X-Ray	F X-Ray Error	B	B Error	V	V Error	R	R Error	I	I Error	F IR	F IR Error	F Radio / mJy	F Radio Error	F Radio Freq GHz	T|R-O| (UT)
115520.47+263945.5	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.055	0.0	0.023	19.404	0.023	0	0	0	0	1.28951455632	0	1.4	1
115522.90+611130.9	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.036	0.0	0.036	19.068	0.019	0	0	15.725	0.229	2.73921580546	0	1.4	1
115523.74+150756.9	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.018	0.0	0.014	17.337	0.014	0	0	13.728	0.051	1.6399335428	0	1.4	1
115529.83+200131.3	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.034	0.0	0.021	18.661	0.016	0	0	17.483	17.483	10.491226152	0	1.4	1
115534.49+575156.5	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.031	0.0	0.033	19.289	0.02	0	0	0	0	23.3790171162	0	1.4	1
115542.53+021411.0	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.023	0.0	0.017	18.376	0.024	0	0	16.916	16.916	57.4415630332	0	1.4	1
115603.75+382208.1	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.032	0.0	0.021	19.281	0.037	0	0	0	0	48.0868411429	0	1.4	1
115604.20+242056.0	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.028	0.0	0.017	18.474	0.016	0	0	16.243	0.265	1.26948112753	0	1.4	1
115615.30+363442.6	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.034	0.0	0.017	18.491	0.027	0	0	15.122	0.099	1.05008933797	0	1.4	1
115618.37+173337.0	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.079	0.0	0.022	19.226	0.022	0	0	16.085	0.216	10.3663590952	0	1.4	1
115618.74+312804.7	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.034	0.0	0.032	19.203	0.018	0	0	15.362	0.16	2834.17229871	0	1.4	1
115619.76+084241.6	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.043	0.0	0.023	19.354	0.022	0	0	0	0	5.03995024331	0	1.4	1
115622.73+062654.8	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.024	0.0	0.023	18.718	0.014	0	0	0	0	2.91894726508	0	1.4	1
115626.66+563657.3	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.031	0.0	0.015	18.632	0.021	0	0	17.68	17.68	3.05932946086	0	1.4	1
115636.53+020827.0	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.043	0.0	0.022	18.799	0.02	0	0	15.506	0.233	2.50972564783	0	1.4	1
115637.02+184856.5	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.028	0.0	0.034	18.181	0.019	0	0	17.139	17.139	2.32073872363	0	1.4	1
115644.79+110228.1	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.047	0.0	0.018	19.412	0.02	0	0	15.629	0.241	1.50947612717	0	1.4	1
115648.23+420838.3	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.048	0.0	0.022	19.959	0.023	0	0	0	0	2.82895636593	0	1.4	1
115650.75+435521.4	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.055	0.0	0.03	20.244	0.032	0	0	0	0	102.807843367	0	1.4	1
115651.57+050335.6	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.017	0.0	0.017	17.069	0.016	0	0	15.016	0.136	11.0669067073	0	1.4	1
115700.59+324457.8	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.032	0.0	0.04	18.566	0.016	0	0	15.567	0.181	91.4589579569	0	1.4	1
115703.45+481055.9	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.033	0.0	0.021	19.564	0.023	0	0	16.063	0.247	2.95955386643	0	1.4	1
115705.95+260228.1	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.03	0.0	0.028	18.417	0.022	0	0	15.818	0.219	9.99139776523	0	1.4	1
