Name	Type	Subtype	F X-Ray	F X-Ray Error	B	B Error	V	V Error	R	R Error	I	I Error	F IR	F IR Error	F Radio / mJy	F Radio Error	F Radio Freq GHz	T|R-O| (UT)
130713.89+135520.4	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.033	0.0	0.016	19.038	0.024	0	0	17.407	17.407	128.240808951	0	1.4	1
130726.61+235716.0	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.041	0.0	0.022	19.236	0.029	0	0	17.723	17.723	3.86924516804	0	1.4	1
130726.99+104506.2	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.155	0.0	0.028	18.855	0.019	0	0	16.609	16.609	7.8927118718	0	1.4	1
130729.11+533552.8	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.019	0.0	0.026	17.408	0.024	0	0	15.497	0.253	1.46969172499	0	1.4	1
130729.24+274659.4	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.025	0.0	0.018	18.01	0.015	0	0	15.65	0.175	12.3944211488	0	1.4	1
130730.01+092205.1	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.016	0.0	0.024	17.643	0.02	0	0	14.448	0.106	3.57129930216	0	1.4	1
130736.27+110303.7	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.034	0.0	0.022	18.857	0.017	0	0	0	0	1.53047503184	0	1.4	1
130738.83+150752.0	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	1.069	0.0	0.036	19.786	0.028	0	0	0	0	3.43895306756	0	1.4	1
130741.12+503106.4	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.025	0.0	0.029	18.261	0.018	0	0	15.845	0.251	8.21913755647	0	1.4	1
130742.13+143840.2	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.035	0.0	0.023	19.169	0.026	0	0	0	0	2.98969062032	0	1.4	1
130743.78+161502.7	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.234	0.0	0.041	19.924	0.023	0	0	17.544	17.544	9.93633554337	0	1.4	1
130745.10+561347.5	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.038	0.0	0.02	18.882	0.015	0	0	0	0	1.69054310558	0	1.4	1
130749.87+580451.5	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.072	0.0	0.019	19.153	0.018	0	0	0	0	3.98865293741	0	1.4	1
130801.18+530751.2	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.072	0.0	0.062	18.14	0.02	0	0	14.438	0.093	8.88845440396	0	1.4	1
130809.43+031627.1	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.207	0.0	0.03	20.351	0.031	0	0	0	0	14.2175986038	0	1.4	1
130816.00+155353.1	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.03	0.0	0.018	18.399	0.017	0	0	0	0	8.2570753717	0	1.4	1
130818.07+030044.4	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.026	0.0	0.02	18.874	0.023	0	0	0	0	42.4645228879	0	1.4	1
130820.18+274303.4	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.047	0.0	0.017	18.44	0.014	0	0	14.202	0.094	1.02997396945	0	1.4	1
130822.59+011535.7	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.036	0.0	0.028	18.742	0.016	0	0	15.23	0.193	42.5036521758	0	1.4	1
130823.80+162334.9	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.055	0.0	0.025	19.866	0.028	0	0	17.912	17.912	7.5792502879	0	1.4	1
130827.13+090936.8	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.019	0.0	0.015	17.723	0.014	0	0	15.665	0.247	1.8198108453	0	1.4	1
130828.04+554844.9	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.038	0.0	0.03	18.716	0.019	0	0	15.834	0.244	1.20012435395	0	1.4	1
130828.73+502623.2	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.055	0.0	0.029	20.099	0.024	0	0	0	0	2.15986321965	0	1.4	1
130829.98+201131.7	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.055	0.0	0.019	19.191	0.016	0	0	15.338	0.223	22.9946206313	0	1.4	1
130835.06-013835.2	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.03	0.0	0.03	18.922	0.022	0	0	15.638	0.224	5.4103610629	0	1.4	1
130836.62+624901.0	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.028	0.0	0.023	18.513	0.013	0	0	17.051	17.051	3.2902299319	0	1.4	1
130840.64+005227.6	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.049	0.0	0.028	19.793	0.026	0	0	0	0	3.51905657481	0	1.4	1
130841.21+215503.6	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.053	0.0	0.026	20.295	0.026	0	0	0	0	5.22909159174	0	1.4	1
130842.88+024326.6	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.056	0.0	0.024	19.945	0.022	0	0	17.721	17.721	2.1698326953	0	1.4	1
130848.58+281942.8	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.086	0.0	0.033	19.871	0.026	0	0	16.739	16.739	3.57129930216	0	1.4	1
130851.33+472954.9	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.03	0.0	0.031	18.883	0.014	0	0	0	0	36.9510044898	0	1.4	1
130852.12+505637.2	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.075	0.0	0.034	19.867	0.035	0	0	0	0	1.39967191668	0	1.4	1
130853.86+264310.3	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.078	0.0	0.025	20.234	0.023	0	0	0	0	5.44034258877	0	1.4	1
130856.81+270811.5	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.033	0.0	0.013	18.695	0.019	0	0	17.196	17.196	116.849336019	0	1.4	1
130906.69+315800.1	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.364	0.0	0.04	19.686	0.02	0	0	0	0	3.43895306756	0	1.4	1
130907.98+522437.2	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.042	0.0	0.018	18.433	0.019	0	0	17.206	17.206	15.733532766	0	1.4	1
130909.74+555738.2	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.019	0.0	0.019	17.717	0.014	0	0	15.949	0.265	279.014162946	0	1.4	1
130911.03+091141.2	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.085	0.0	0.017	18.924	0.016	0	0	0	0	16.114849315	0	1.4	1
130913.30+162555.7	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.045	0.0	0.019	19.438	0.018	0	0	0	0	3.67135388811	0	1.4	1
130917.11+333049.8	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.027	0.0	0.031	18.979	0.016	0	0	15.932	0.244	11.5884739519	0	1.4	1
130924.77+412427.9	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.034	0.0	0.025	18.331	0.023	0	0	17.339	17.339	1.55033748899	0	1.4	1
130927.80+110223.4	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.027	0.0	0.019	18.146	0.014	0	0	16.692	16.692	10.8349334689	0	1.4	1
130932.56+481255.5	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.025	0.0	0.031	18.617	0.022	0	0	17.339	17.339	1.30986412866	0	1.4	1
130940.70+573309.9	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.357	0.0	0.046	19.53	0.021	0	0	0	0	10.646975358	0	1.4	1
130941.35+112540.1	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.135	0.0	0.029	18.573	0.014	0	0	15.623	0.25	1.31955120893	0	1.4	1
130944.98+222632.0	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.022	0.0	0.019	17.97	0.014	0	0	15.743	0.183	1.72038738321	0	1.4	1
130946.23+435855.2	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.036	0.0	0.015	19.09	0.017	0	0	0	0	1.50947612717	0	1.4	1
130947.95+255126.2	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.069	0.0	0.026	19.931	0.022	0	0	0	0	4.62196070543	0	1.4	1
130949.75+453921.5	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.048	0.0	0.032	19.369	0.022	0	0	15.703	0.236	1.80978193535	0	1.4	1
130951.42+490730.0	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.032	0.0	0.02	18.986	0.015	0	0	0	0	2.22037459152	0	1.4	1
130952.10-013217.3	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.062	0.0	0.027	19.909	0.025	0	0	0	0	1.20012435395	0	1.4	1
130952.41+274240.5	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.027	0.0	0.026	18.457	0.014	0	0	15.946	0.231	1.98987707633	0	1.4	1
130953.87+093828.5	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.032	0.0	0.023	18.859	0.019	0	0	15.623	0.243	23.4869297561	0	1.4	1
131002.61+015155.7	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.09	0.0	0.03	20.132	0.028	0	0	0	0	8.33347714944	0	1.4	1
131002.75+274038.5	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.078	0.0	0.038	20.367	0.026	0	0	0	0	2.14993954957	0	1.4	1
131003.34+535348.2	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	9.258	0.0	0.025	19.392	0.03	0	0	0	0	13.945248219	0	1.4	1
131006.87+010427.3	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.02	0.0	0.024	17.66	0.016	0	0	15.271	0.172	1.12002121482	0	1.4	1
131007.14+143503.9	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.725	0.0	0.032	20.055	0.025	0	0	0	0	24.3011177008	0	1.4	1
131010.74-003007.2	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	1.043	0.0	0.035	19.722	0.024	0	0	17.306	17.306	2.58956161503	0	1.4	1
131011.88+195428.1	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.021	0.0	0.013	17.624	0.017	0	0	14.854	0.086	8.49622977119	0	1.4	1
131012.48+070156.5	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.029	0.0	0.027	19.143	0.022	0	0	0	0	6.25210479577	0	1.4	1
131012.57+225232.0	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.047	0.0	0.045	19.793	0.049	0	0	0	0	5.78130988792	0	1.4	1
131053.31+194222.3	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.038	0.0	0.022	18.667	0.016	0	0	15.889	0.247	12.2921046473	0	1.4	1
131028.15+280835.9	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.021	0.0	0.019	18.434	0.019	0	0	0	0	1.23034313094	0	1.4	1
131028.50+004408.9	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.029	0.0	0.018	19.29	0.017	0	0	0	0	189.507433025	0	1.4	1
131028.66+322043.7	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.026	0.0	0.019	17.619	0.014	0	0	14.699	0.097	1458.90243419	0	1.4	1
131040.56-033411.9	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.038	0.0	0.03	19.549	0.027	0	0	0	0	2.47073546366	0	1.4	1
131040.74+020126.9	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.028	0.0	0.032	19.045	0.018	0	0	0	0	101.02439282	0	1.4	1
131043.14+531238.9	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.024	0.0	0.019	17.802	0.022	0	0	15.689	0.242	1.09957852379	0	1.4	1
131045.86+484939.3	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.036	0.0	0.016	19.164	0.016	0	0	0	0	17.9484210445	0	1.4	1
131046.55+622909.0	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.06	0.0	0.023	20.07	0.024	0	0	0	0	300.072536187	0	1.4	1
131050.25+263001.0	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.049	0.0	0.021	20.069	0.025	0	0	0	0	58.2943211097	0	1.4	1
131053.25+170330.8	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.031	0.0	0.017	19.316	0.021	0	0	0	0	3.50934648332	0	1.4	1
131055.58-012724.4	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.03	0.0	0.024	18.661	0.016	0	0	16.848	16.848	4.73834031171	0	1.4	1
131058.31+190447.1	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.037	0.0	0.022	18.89	0.015	0	0	17.1	17.1	9.57692858517	0	1.4	1
131059.40+323334.3	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.034	0.0	0.025	18.814	0.019	0	0	0	0	243.459232687	0	1.4	1
131102.54-025639.2	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.104	0.0	0.03	19.286	0.027	0	0	17.181	17.181	1.23034313094	0	1.4	1
131103.07+291107.1	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.048	0.0	0.026	19.162	0.018	0	0	17.602	17.602	47.4707670116	0	1.4	1
131103.19+551354.3	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.053	0.0	0.042	19.172	0.016	0	0	14.217	0.081	265.476601213	0	1.4	1
131107.81+141746.6	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.039	0.0	0.037	19.665	0.023	0	0	0	0	736.59072993	0	1.4	1
131109.46+043805.8	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.037	0.0	0.018	19.027	0.019	0	0	0	0	4.80868411429	0	1.4	1
131118.53+463502.2	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.033	0.0	0.024	18.54	0.02	0	0	14.776	0.097	2.03998159376	0	1.4	1
131121.32+222738.6	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.424	0.0	0.399	21.4	0.054	0	0	0	0	6.51067848018	0	1.4	1
131121.59+113851.1	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.09	0.0	0.025	19.496	0.018	0	0	0	0	4.16894579966	0	1.4	1
131130.18+311606.9	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.027	0.0	0.022	18.464	0.017	0	0	0	0	3.26908527118	0	1.4	1
131131.99+373408.2	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.022	0.0	0.021	17.425	0.013	0	0	15.841	0.207	1.20012435395	0	1.4	1
131133.01+394257.6	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.358	0.0	0.042	20.384	0.032	0	0	15.698	0.211	11.5352297505	0	1.4	1
131150.53+192053.1	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.016	0.0	0.026	17.514	0.018	0	0	14.845	0.094	1.00006044218	0	1.4	1
131156.19+602022.0	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.024	0.0	0.02	18.155	0.032	0	0	14.949	0.103	2.07026647265	0	1.4	1
131211.13+480925.2	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.018	0.0	0.021	17.157	0.017	0	0	15.572	0.186	101.02439282	0	1.4	1
131213.57+231958.6	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.017	0.0	0.017	17.309	0.015	0	0	15.405	0.141	43.2539973115	0	1.4	1
131213.84+000003.0	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.056	0.0	0.018	19.205	0.023	0	0	0	0	1.77021594757	0	1.4	1
131217.75+351521.0	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.024	0.0	0.018	15.599	0.015	0	0	12.659	0.029	43.9365800267	0	1.4	1
131222.35+035347.5	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.038	0.0	0.025	18.989	0.022	0	0	0	0	589.965001721	0	1.4	1
131229.69+080833.4	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.28	0.0	0.023	19.293	0.019	0	0	14.85	0.163	1.23944211488	0	1.4	1
131234.56+011409.7	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.062	0.0	0.041	19.408	0.023	0	0	16.747	16.747	6.08732163211	0	1.4	1
131242.86+084105.0	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.287	0.0	0.021	18.597	0.015	0	0	15.672	0.261	4.40987469085	0	1.4	1
131248.79+311300.6	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.022	0.0	0.023	17.917	0.015	0	0	15.793	0.225	72.2480698107	0	1.4	1
131252.16-005238.9	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.038	0.0	0.024	19.59	0.022	0	0	0	0	22.8047990085	0	1.4	1
131254.92+151528.7	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.026	0.0	0.021	18.593	0.016	0	0	17.565	17.565	69.9562061553	0	1.4	1
131256.60+023723.0	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.098	0.0	0.023	19.042	0.019	0	0	14.936	0.178	1.85023226009	0	1.4	1
131259.59+154057.9	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.049	0.0	0.019	19.312	0.024	0	0	15.839	0.25	1.7093313147	0	1.4	1
131304.10+114923.0	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.052	0.0	0.024	19.108	0.023	0	0	0	0	2.37042516414	0	1.4	1
131308.44+554856.3	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.024	0.0	0.025	18.654	0.017	0	0	15.674	0.246	5.4103610629	0	1.4	1
131313.80+114317.4	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.035	0.0	0.016	18.007	0.024	0	0	17.008	17.008	6.03151273194	0	1.4	1
131314.24+375357.0	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.024	0.0	0.022	16.819	0.03	0	0	14.065	0.046	2.47985477757	0	1.4	1
131314.51+210800.8	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.044	0.0	0.041	19.322	0.026	0	0	15.948	0.267	13.2198415222	0	1.4	1
131319.23+604344.0	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.024	0.0	0.018	18.828	0.02	0	0	0	0	1.44021141544	0	1.4	1
131327.47-023232.8	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.024	0.0	0.018	17.9	0.013	0	0	14.667	0.1	1.96076817317	0	1.4	1
131333.71+281733.8	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.07	0.0	0.03	20.071	0.023	0	0	0	0	1.16957007812	0	1.4	1
131336.29+560138.0	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.026	0.0	0.031	18.657	0.015	0	0	17.419	17.419	2.03060872972	0	1.4	1
131336.40+012441.0	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.059	0.0	0.029	19.512	0.02	0	0	0	0	96.5664461881	0	1.4	1
131341.64+102714.3	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.072	0.0	0.021	18.806	0.024	0	0	0	0	66.1342220033	0	1.4	1
131344.31+160801.1	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.052	0.0	0.025	19.965	0.034	0	0	17.138	17.138	1.72992091309	0	1.4	1
131347.41+050235.0	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.022	0.0	0.017	18.08	0.017	0	0	0	0	16.2639581798	0	1.4	1
131352.94+611625.3	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.068	0.0	0.024	20.253	0.031	0	0	0	0	28.1077607951	0	1.4	1
131359.17-032444.7	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.014	0.0	0.02	17.859	0.02	0	0	15.018	0.127	2.75947363434	0	1.4	1
131407.06+201612.7	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.034	0.0	0.023	19.231	0.02	0	0	0	0	1.72992091309	0	1.4	1
131408.25+072358.1	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.026	0.0	0.016	18.696	0.026	0	0	15.532	0.231	12.2807884127	0	1.4	1
131413.60+324621.9	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.073	0.0	0.025	18.805	0.014	0	0	15.194	0.154	1.86048532559	0	1.4	1
131422.44+165640.0	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.023	0.0	0.016	18.695	0.025	0	0	17.524	17.524	1.7093313147	0	1.4	1
131423.13+291001.8	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.021	0.0	0.026	18.122	0.016	0	0	15.669	0.165	7.53054224037	0	1.4	1
131435.15+301803.2	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.029	0.0	0.024	17.985	0.017	0	0	15.737	0.22	7.06685611464	0	1.4	1
131439.23+021214.9	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.043	0.0	0.021	19.516	0.02	0	0	16.98	16.98	9.62113367903	0	1.4	1
131446.13+500846.7	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.096	0.0	0.034	20.101	0.025	0	0	16.027	0.239	1.22018659331	0	1.4	1
131446.79+095100.5	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.379	0.0	0.022	20.243	0.03	0	0	0	0	1.58937452934	0	1.4	1
131458.40+560342.5	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.022	0.0	0.025	18.754	0.014	0	0	0	0	270.163235564	0	1.4	1
131502.78+325023.2	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.022	0.0	0.014	18.053	0.014	0	0	15.639	0.205	3.49000660524	0	1.4	1
131512.55+242129.4	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.054	0.0	0.023	19.916	0.023	0	0	0	0	28.3156313131	0	1.4	1
131512.85+151056.7	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.045	0.0	0.034	18.677	0.021	0	0	0	0	1.39967191668	0	1.4	1
131526.30+535950.3	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.029	0.0	0.04	17.765	0.019	0	0	14.732	0.12	2.61111649863	0	1.4	1
131530.72+281119.8	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.034	0.0	0.024	19.152	0.015	0	0	15.623	0.212	20.7217413692	0	1.4	1
131536.57+485629.0	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.357	0.0	0.032	19.787	0.025	0	0	16.009	0.271	9.93633554337	0	1.4	1
131543.53+150348.3	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.052	0.0	0.036	19.503	0.023	0	0	0	0	4.68194436707	0	1.4	1
131545.77+104015.3	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.041	0.0	0.021	19.13	0.016	0	0	0	0	11.7496856831	0	1.4	1
131547.59+354318.0	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.04	0.0	0.024	19.128	0.023	0	0	16.137	0.273	5.98172232431	0	1.4	1
131549.46+062047.8	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.019	0.0	0.016	17.2	0.018	0	0	14.248	0.076	2.88952362012	0	1.4	1
131556.37+201701.6	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.03	0.0	0.025	18.236	0.02	0	0	17.001	17.001	4.75145093448	0	1.4	1
131558.15+191151.5	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.022	0.0	0.026	18.467	0.015	0	0	17.29	17.29	3.00072536187	0	1.4	1
131607.24+181802.8	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.028	0.0	0.032	19.342	0.021	0	0	0	0	1.07950895392	0	1.4	1
131612.52+250724.8	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.164	0.0	0.027	20.216	0.026	0	0	0	0	18.9856840334	0	1.4	1
131615.35+380818.3	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.026	0.0	0.025	18.574	0.017	0	0	17.176	17.176	30.5932946086	0	1.4	1
131618.70+271337.6	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.032	0.0	0.026	19.138	0.022	0	0	0	0	2.35953404981	0	1.4	1
131637.26-003636.0	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.028	0.0	0.024	18.045	0.015	0	0	16.706	16.706	2.07982238851	0	1.4	1
131703.87+614228.5	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.045	0.0	0.017	19.032	0.015	0	0	17.012	17.012	1.28004798092	0	1.4	1
131706.03+465034.9	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.079	0.0	0.026	20.203	0.025	0	0	0	0	3.15955739468	0	1.4	1
131706.50+062923.6	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.039	0.0	0.019	17.663	0.014	0	0	13.931	0.063	1.18039197681	0	1.4	1
131707.53+171458.3	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.111	0.0	0.032	20.377	0.031	0	0	0	0	1.30024816312	0	1.4	1
131715.49+051802.5	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.031	0.0	0.022	18.593	0.018	0	0	15.347	0.201	1.12002121482	0	1.4	1
131716.57+470639.0	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.029	0.0	0.037	19.185	0.028	0	0	0	0	5.43033033183	0	1.4	1
131718.64+392528.1	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.018	0.0	0.026	18.207	0.018	0	0	16.322	0.293	473.397814816	0	1.4	1
131718.69+242520.8	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.1	0.0	0.022	19.422	0.018	0	0	15.8	0.198	1.42963854529	0	1.4	1
131724.32+241154.2	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.043	0.0	0.024	20.065	0.026	0	0	0	0	4.41800546665	0	1.4	1
131726.12-023150.5	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.033	0.0	0.019	18.251	0.019	0	0	15.428	0.212	17.898896177	0	1.4	1
131728.65+060046.5	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.038	0.0	0.02	18.951	0.017	0	0	0	0	76.5642881241	0	1.4	1
